Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,52.509998,55.009998,52.509998,52.889999,45.726967,127924600
2018-10-22,53.070000,53.169998,50.020000,51.250000,44.309074,133732700
2018-10-29,51.880001,54.630001,51.590000,53.610001,46.349457,115060000
2018-11-05,53.730000,54.299999,51.160000,53.040001,45.856640,101756700
2018-11-12,53.130001,53.580002,51.279999,52.939999,46.140484,113986300
2018-11-19,52.970001,53.480000,51.610001,51.830002,45.173058,71300400
2018-11-26,52.330002,54.549999,52.330002,54.279999,47.308380,96257000
2018-12-03,54.779999,55.040001,50.020000,50.259998,43.804695,123362900
2018-12-10,50.070000,50.070000,46.380001,46.540001,40.562496,170873300
2018-12-17,46.220001,47.520000,44.930000,45.119999,39.324867,190018700
2018-12-24,44.470001,46.430000,43.020000,45.779999,39.900105,96460200
2018-12-31,45.980000,48.110001,45.410000,47.950001,41.791397,82445300
2019-01-07,47.779999,48.230000,46.919998,47.869999,41.721668,96613900
2019-01-14,47.509998,50.160000,47.009998,50.009998,43.586815,145420700
2019-01-21,49.770000,50.540001,49.500000,50.130001,43.691406,88827400
2019-01-28,49.770000,50.349998,48.660000,48.910000,42.628090,94784000
2019-02-04,48.849998,49.529999,47.060001,47.650002,41.906406,89309300
2019-02-11,47.869999,49.709999,47.380001,49.220001,43.287167,87602500
2019-02-18,49.029999,49.889999,48.820000,49.020000,43.111267,64651300
2019-02-25,49.259998,50.840000,49.250000,50.029999,43.999535,87854900
2019-03-04,50.290001,50.900002,49.169998,49.799999,43.797256,81590700
2019-03-11,50.000000,50.799999,49.540001,50.660000,44.553581,125696100
2019-03-18,50.840000,52.419998,48.000000,48.310001,42.486851,116496200
2019-03-25,48.419998,49.799999,47.799999,48.320000,42.495647,120601600
2019-04-01,48.430000,49.680000,47.959999,48.779999,42.900200,150770400
2019-04-08,48.639999,49.099998,46.060001,46.490002,40.886230,176690600
2019-04-15,45.869999,47.959999,45.660000,47.580002,41.844837,107731900
2019-04-22,47.410000,47.980000,46.910000,47.959999,42.179035,86317000
2019-04-29,47.970001,48.849998,47.849998,48.650002,42.785866,86440200
2019-05-06,47.990002,48.730000,45.779999,47.150002,41.466679,106243700
2019-05-13,46.279999,46.990002,45.410000,45.700001,40.579987,107733200
2019-05-20,45.619999,46.360001,45.070000,46.169998,40.997326,81494500
2019-05-27,46.070000,46.250000,44.220001,44.369999,39.398987,67359800
2019-06-03,44.240002,46.189999,44.200001,45.630001,40.517830,85960300
2019-06-10,46.060001,46.810001,44.779999,45.590000,40.482307,84568300
2019-06-17,45.580002,46.889999,45.060001,46.889999,41.636662,108210500
2019-06-24,46.549999,47.700001,45.430000,47.320000,42.018478,104197700
2019-07-01,47.880001,48.189999,46.919998,47.770000,42.418072,48436300
2019-07-08,47.400002,47.990002,46.919998,47.360001,42.054001,71113200
2019-07-15,47.400002,47.450001,45.139999,46.029999,40.873009,124645800
2019-07-22,45.889999,49.310001,45.770000,49.299999,43.776653,110683000
2019-07-29,49.380001,49.570000,46.369999,47.439999,42.125042,99606000
2019-08-05,46.500000,47.029999,45.230000,46.299999,41.112766,114847000
2019-08-12,45.509998,46.419998,43.340000,44.389999,39.860512,111896800
2019-08-19,45.130001,45.830002,44.090000,44.419998,39.887455,78094000
2019-08-26,44.709999,46.900002,44.430000,46.570000,41.818077,77198500
2019-09-02,46.310001,48.169998,45.480000,47.150002,42.338894,72436800
2019-09-09,47.320000,49.360001,46.889999,48.919998,43.928284,122112100
2019-09-16,48.459999,49.310001,48.310001,48.630001,43.667870,103734400
2019-09-23,48.320000,51.410000,48.310001,50.709999,45.535637,142997200
2019-09-30,50.770000,50.849998,47.320000,49.209999,44.188683,113654000
2019-10-07,48.950001,49.919998,47.540001,49.209999,44.188683,90186100
2019-10-14,49.090000,51.250000,48.779999,49.970001,44.871136,120836900
2019-10-21,50.279999,51.730000,50.180000,51.570000,46.307884,86238400
2019-10-28,51.939999,52.360001,51.150002,52.180000,46.855637,96307700
2019-11-04,52.580002,54.400002,52.240002,54.099998,48.579716,103750900
2019-11-11,53.790001,54.240002,53.099998,53.799999,48.772678,74410500
2019-11-18,53.840000,54.349998,53.250000,54.279999,49.207817,73812900
2019-11-25,54.529999,54.750000,53.730000,54.459999,49.371002,60501400
2019-12-02,54.310001,54.439999,52.169998,54.369999,49.289417,96506200
2019-12-09,54.169998,54.549999,53.070000,53.790001,48.763611,86162900
2019-12-16,54.240002,54.560001,53.070000,53.330002,48.346596,139825200
2019-12-23,53.340000,54.389999,53.250000,53.919998,48.881470,44682300
2019-12-30,54.169998,54.259998,52.900002,53.419998,48.428192,55878400
2020-01-06,52.740002,53.330002,52.470001,52.500000,47.594162,77659500
2020-01-13,52.500000,52.500000,47.840000,49.180000,44.584396,195703300
2020-01-20,49.090000,49.880001,47.180000,47.570000,43.124844,89763500
2020-01-27,46.889999,47.950001,46.740002,46.939999,42.553707,88836400
2020-02-03,47.240002,48.500000,47.029999,47.840000,43.369617,82020000
2020-02-10,47.669998,48.490002,47.419998,48.220001,44.180511,76535400
2020-02-17,47.970001,48.119999,46.529999,47.700001,43.704067,75720900
2020-02-24,46.580002,46.950001,39.750000,40.849998,37.427906,194441600
2020-03-02,40.980000,42.900002,36.330002,37.090000,33.982891,225008100
2020-03-09,33.720001,35.080002,27.120001,30.889999,28.302279,284938700
2020-03-16,26.340000,30.620001,25.889999,26.500000,24.280035,294522900
2020-03-23,26.260000,31.389999,25.110001,30.280001,27.743380,233473000
2020-03-30,30.360001,30.480000,25.910000,26.230000,24.032652,192499800
2020-04-06,27.410000,33.910000,27.400000,33.200001,30.418766,179961700
2020-04-13,33.220001,33.240002,26.660000,28.379999,26.002542,242167000
2020-04-20,27.330000,28.889999,26.370001,26.920000,24.664856,188871000
2020-04-27,27.370001,30.459999,27.160000,27.590000,25.278725,178013000
2020-05-04,26.959999,27.799999,25.139999,25.430000,23.299677,254942500
2020-05-11,25.110001,25.270000,22.000000,23.360001,21.837963,334796800
2020-05-18,24.549999,25.590000,23.920000,24.170000,22.595188,208007600
2020-05-25,25.049999,28.370001,25.040001,26.469999,24.745331,222510400
2020-06-01,26.610001,33.889999,26.370001,31.670000,29.606520,293564100
2020-06-08,32.900002,33.430000,26.700001,27.969999,26.147596,329544200
2020-06-15,26.860001,29.650000,26.559999,27.600000,25.801706,245531000
2020-06-22,27.270000,28.290001,25.250000,25.340000,23.688955,263742800
2020-06-29,25.590000,26.170000,24.930000,25.340000,23.688955,164901800
2020-07-06,25.820000,26.020000,23.709999,25.469999,23.810488,216919200
2020-07-13,25.820000,26.090000,23.330000,24.950001,23.324368,319566600
2020-07-20,24.719999,26.850000,24.400000,26.260000,24.549013,228255900
2020-07-27,26.020000,26.020000,24.080000,24.260000,22.679325,193265400
2020-08-03,24.250000,25.219999,23.900000,25.070000,23.436550,179848700
2020-08-10,25.219999,26.139999,24.219999,25.299999,23.748892,202602400
2020-08-17,25.030001,25.139999,23.520000,23.639999,22.190666,163230300
2020-08-24,23.799999,24.889999,23.610001,24.690001,23.176291,162836100
2020-08-31,24.490000,25.360001,23.740000,24.790001,23.270163,189552600
2020-09-07,24.280001,24.670000,23.700001,24.270000,22.782045,187583600
2020-09-14,24.379999,26.000000,24.230000,25.129999,23.589321,310194600
2020-09-21,24.450001,24.520000,22.559999,23.639999,22.190666,215284600
2020-09-28,23.990000,24.270000,23.070000,23.990000,22.519211,187709700
2020-10-05,24.219999,25.510000,24.040001,25.299999,23.748892,142940800
2020-10-12,25.200001,25.740000,22.610001,22.860001,21.458488,234653100
2020-10-19,22.889999,23.590000,22.510000,23.280001,21.852736,158499700
2020-10-26,22.969999,23.020000,20.760000,21.450001,20.134932,219282900
2020-11-02,21.700001,22.570000,21.170000,21.910000,20.566729,191854000
2020-11-09,24.030001,24.870001,23.299999,24.070000,22.698042,254019200
2020-11-16,24.990000,26.230000,24.389999,25.480000,24.027674,193792600
2020-11-23,25.950001,28.730000,25.870001,28.459999,26.837818,180371700
2020-11-30,28.430000,29.969999,27.280001,29.549999,27.865685,214076600
2020-12-07,29.420000,29.629999,28.400000,29.080000,27.422476,160707800
2020-12-14,29.540001,29.910000,28.510000,29.010000,27.356472,199035900
2020-12-21,29.570000,30.490000,28.840000,29.840000,28.139158,131214900
2020-12-28,30.080000,30.480000,29.650000,30.180000,28.459782,80843400
2021-01-04,30.320000,34.200001,29.400000,33.189999,31.298212,225247900
2021-01-11,32.639999,35.099998,31.820000,32.040001,30.213766,276470500
2021-01-18,32.410000,33.040001,31.150000,31.900000,30.081743,126473300
2021-01-25,31.879999,32.529999,29.820000,29.879999,28.176882,169887900
2021-02-01,30.139999,33.189999,29.680000,32.560001,30.704128,133257600
2021-02-08,32.779999,33.689999,30.770000,33.529999,31.718899,132316900
2021-02-15,34.070000,37.849998,34.000000,37.830002,35.786633,198983600
2021-02-22,37.669998,38.680000,35.930000,36.169998,34.216293,190947900
2021-03-01,37.110001,38.660000,36.340000,37.430000,35.408237,160623200
2021-03-08,38.130001,40.020000,37.480000,39.970001,37.811039,171899200
2021-03-15,40.070000,41.540001,38.720001,39.630001,37.489410,201809900
2021-03-22,39.279999,40.230000,37.779999,39.759998,37.612381,146831200
2021-03-29,38.580002,40.080002,37.900002,39.630001,37.489410,123100800
2021-04-05,40.029999,40.790001,39.259998,40.500000,38.312416,110864800
2021-04-12,40.459999,44.130001,39.060001,43.840000,41.472004,216559600
2021-04-19,43.610001,44.400002,41.770000,43.860001,41.490929,148778700
2021-04-26,44.130001,46.389999,43.990002,45.049999,42.616650,135589100
2021-05-03,45.450001,46.689999,44.669998,46.540001,44.026173,121692400
2021-05-10,46.840000,47.349998,45.310001,46.959999,44.520393,133696400
2021-05-17,46.919998,48.130001,45.270000,45.880001,43.496502,131669600
2021-05-24,46.000000,47.380001,45.599998,46.720001,44.292858,139626300
2021-05-31,47.160000,47.459999,46.349998,46.959999,44.520393,74767900
2021-06-07,47.099998,47.180000,45.009998,45.680000,43.306889,101562800
2021-06-14,45.610001,45.959999,41.470001,41.750000,39.581047,197808000
2021-06-21,42.299999,46.650002,42.230000,46.380001,43.970520,148704100
2021-06-28,46.000000,46.380001,44.450001,45.070000,42.728573,116706100
2021-07-05,44.730000,44.820000,41.970001,43.910000,41.628838,101575500
2021-07-12,43.279999,45.529999,42.509998,44.279999,41.979618,153851000
2021-07-19,42.709999,46.150002,42.290001,44.590000,42.273514,154829000
2021-07-26,44.470001,46.849998,44.270000,45.939999,43.553383,118635400
2021-08-02,46.040001,48.990002,45.110001,48.770000,46.236366,131865500
