Adj Close,Date
88.0475,2018-10-15
90.998,2018-10-16
91.5865,2018-10-17
88.536,2018-10-18
88.2015,2018-10-19
89.465,2018-10-22
88.435,2018-10-23
83.21000000000001,2018-10-24
89.1085,2018-10-25
82.1405,2018-10-26
76.944,2018-10-29
76.521,2018-10-30
79.9005,2018-10-31
83.2765,2018-11-01
83.2765,2018-11-02
81.39,2018-11-05
82.1405,2018-11-06
87.7745,2018-11-07
87.7455,2018-11-08
85.6215,2018-11-09
81.8425,2018-11-12
81.55850000000001,2018-11-13
79.9505,2018-11-14
80.97200000000001,2018-11-15
79.6705,2018-11-16
75.61449999999999,2018-11-19
74.773,2018-11-20
75.8365,2018-11-21
75.103,2018-11-23
79.06649999999999,2018-11-26
79.071,2018-11-27
83.8875,2018-11-28
83.6785,2018-11-29
84.5085,2018-11-30
88.618,2018-12-03
83.42,2018-12-04
84.9595,2018-12-06
81.4565,2018-12-07
82.0515,2018-12-10
82.162,2018-12-11
83.17699999999999,2018-12-12
82.91900000000001,2018-12-13
79.5955,2018-12-14
76.0455,2018-12-17
77.574,2018-12-18
74.75399999999999,2018-12-19
73.0415,2018-12-20
68.8725,2018-12-21
67.19800000000001,2018-12-24
73.545,2018-12-26
73.08200000000001,2018-12-27
73.901,2018-12-28
75.0985,2018-12-31
76.9565,2019-01-02
75.014,2019-01-03
78.76950000000001,2019-01-04
81.4755,2019-01-07
82.829,2019-01-08
82.971,2019-01-09
82.811,2019-01-10
82.02799999999999,2019-01-11
80.8605,2019-01-14
83.728,2019-01-15
84.189,2019-01-16
84.661,2019-01-17
84.81,2019-01-18
81.6085,2019-01-22
82.001,2019-01-23
82.7465,2019-01-24
83.5285,2019-01-25
81.89450000000001,2019-01-28
79.694,2019-01-29
83.5215,2019-01-30
85.9365,2019-01-31
81.3115,2019-02-01
81.6655,2019-02-04
82.9405,2019-02-05
82.013,2019-02-06
80.71849999999999,2019-02-07
79.411,2019-02-08
79.55,2019-02-11
81.9005,2019-02-12
82.0,2019-02-13
81.13250000000001,2019-02-14
80.39750000000001,2019-02-15
81.37899999999999,2019-02-19
81.10499999999999,2019-02-20
80.97200000000001,2019-02-21
81.578,2019-02-22
81.65,2019-02-25
81.82000000000001,2019-02-26
82.05449999999999,2019-02-27
81.9915,2019-02-28
