Adj Close,Date
392.98,2023-05-30
395.23,2023-05-31
403.13,2023-06-01
400.47,2023-06-02
403.54,2023-06-05
399.29,2023-06-06
399.77,2023-06-07
409.37,2023-06-08
420.02,2023-06-09
423.97,2023-06-12
435.73,2023-06-13
440.86,2023-06-14
445.27,2023-06-15
431.96,2023-06-16
434.7,2023-06-20
424.45,2023-06-21
422.48,2023-06-22
424.02,2023-06-23
415.94,2023-06-26
417.08,2023-06-27
429.84,2023-06-28
428.24,2023-06-29
440.49,2023-06-30
441.44,2023-07-03
445.9,2023-07-05
438.84,2023-07-06
438.1,2023-07-07
441.71,2023-07-10
440.21,2023-07-11
444.05,2023-07-12
450.38,2023-07-13
441.91,2023-07-14
450.05,2023-07-17
474.8,2023-07-18
477.59,2023-07-19
437.42,2023-07-20
427.5,2023-07-21
428.37,2023-07-24
427.7,2023-07-25
422.67,2023-07-26
413.17,2023-07-27
425.78,2023-07-28
438.97,2023-07-31
438.62,2023-08-01
429.7,2023-08-02
431.0,2023-08-03
431.6,2023-08-04
440.76,2023-08-07
438.3,2023-08-08
428.9,2023-08-09
429.98,2023-08-10
421.66,2023-08-11
427.78,2023-08-14
423.7,2023-08-15
415.45,2023-08-16
403.0,2023-08-17
404.53,2023-08-18
408.29,2023-08-21
413.17,2023-08-22
427.55,2023-08-23
406.93,2023-08-24
416.03,2023-08-25
418.06,2023-08-28
429.99,2023-08-29
434.67,2023-08-30
433.68,2023-08-31
439.88,2023-09-01
448.68,2023-09-05
445.76,2023-09-06
443.14,2023-09-07
442.8,2023-09-08
445.36,2023-09-11
434.69,2023-09-12
412.24,2023-09-13
400.49,2023-09-14
396.94,2023-09-15
394.4,2023-09-18
396.2,2023-09-19
386.3,2023-09-20
384.15,2023-09-21
379.81,2023-09-22
384.8,2023-09-25
379.25,2023-09-26
377.59,2023-09-27
376.36,2023-09-28
377.6,2023-09-29
380.33,2023-10-02
376.75,2023-10-03
376.9,2023-10-04
372.59,2023-10-05
381.51,2023-10-06
385.95,2023-10-09
373.32,2023-10-10
365.93,2023-10-11
361.2,2023-10-12
